date,strategy,obj_total,dr_term,smooth_term,l2_term,band_penalty,dr,db
2019-08-30,CTB_ONLY,1.2475744659040748e-06,0.002861659709193974,0.00160692998609025,1.247538743114438e-06,0.0,0.002861659709193974,3.5722789636979066e-11
2019-08-30,RB_CTB_BAND,1.348135675867414e-05,6.276768654203932e-06,5.992309986445458e-06,1.2122781180247514e-06,0.0,6.276768654203932e-06,0.01063965890355085
2019-09-30,ERC,1.2130504443600029e-06,4.267993430238488e-13,5.0565093859788536e-06,1.21305001756066e-06,0.0,4.267993430238488e-13,0.010540753007015444
2019-09-30,CTB_ONLY,1.1628628640348603e-05,0.0029603450118683428,0.00012586797318260665,1.2451292356429374e-06,0.0,0.0029603450118683428,1.0383499404705665e-05
2019-09-30,RB_CTB_BAND,3.104607882398524e-06,8.993061280852258e-07,9.922112712066736e-07,1.2130904831066243e-06,0.0,8.993061280852258e-07,0.01078606165471962
2019-10-31,ERC,1.2065989651566058e-06,3.9017088075217394e-13,7.033343170565878e-05,1.206598574985725e-06,0.0,3.9017088075217394e-13,0.009749031352273377
2019-10-31,CTB_ONLY,1.2277150569113118e-06,0.003155451683453607,0.001379010304191748,1.22768133220254e-06,0.0,0.003155451683453607,3.3724708771839365e-11
2019-10-31,RB_CTB_BAND,2.447140679457551e-05,1.259163237887793e-05,1.067071587827606e-05,1.2090585374215205e-06,0.0,1.259163237887793e-05,0.00885114247228951
2019-11-29,ERC,1.2075306240678315e-06,3.9552424061537467e-13,8.62867153407865e-06,1.2075302285435909e-06,0.0,3.9552424061537467e-13,0.009783207675814367
2019-11-29,CTB_ONLY,2.4831989130948385e-05,0.003352499557655437,6.050130974303129e-05,1.2318887075557563e-06,0.0,0.003352499557655437,2.360010042339263e-05
2019-11-29,RB_CTB_BAND,1.075053000107884e-05,5.972633980744017e-06,3.569610436195671e-06,1.208285584139152e-06,0.0,5.972633980744017e-06,0.009440418174458709
2019-12-31,ERC,1.2123792788516756e-06,4.2256423967994887e-13,3.597700676603719e-05,1.212378856287436e-06,0.0,4.2256423967994887e-13,0.011438622801896631
